6041	C c m m	Cs2 V F6		Sur une variete orthorhombique de Cs2 V F6. Preparation et structure cristalline	Waltersson, K.;  Wilhelmi, K.A.;  Carpy, A.;  Galy, J.	Bulletin de la Societe Francaise de Mineralogie et de Cristallographie (72,1949-100,1977) (1974) 97,  p13-p17
6058	F m -3 m	K2 (Sn Cl6)	K2PtCl6	Crystal structrues of M2 Sn Cl6 salts. An analysis of the &#39;crystal field effect&#39; in their nuclear quadrupole resonance and vibrational spectra	Brill, T.B.;  Gerhart, R.C.;  Welsh, W.A.	Journal of Magnetic Resonance (1974) 13,  p27-p37
6059	P 1 21/c 1	K2 Sb Cl5		Crystal Structure of Potassium Pentachloroantimonate(III)	Wismer, R.K.;  Jacobson, R.A.	Inorganic Chemistry (1974) 13,  p1678-p1680
6067	P n a m	Rb Pb I3	NH4CdCl3/Sn2S3	Darstellung und Kristallstruktur von Rubidiumtriiodoplumbat(II)	Haupt, H.J.;  Huber, F.;  Preut, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1974) 408,  p209-p213
6068	R -3 m R	Ca2 P I	Delafossite-NaCrS2	Etude d&#39;halogenopnictures.III. Structure de Ca2 P I et Ca P I3. Surstructures de type Na Cl	Hamon, C.;  Marchand, R.;  Laurent, Y.;  Lang, J.	Bulletin de la Societe Francaise de Mineralogie et de Cristallographie (72,1949-100,1977) (1974) 97,  p6-p12
6078	P 1 21/c 1	Ta Cl4 N3		Ueber die Darstellung der Tetrachloridazide von Niob und Tantal. Die Kristallstruktur von Tantaltetrachloridazid Ta Cl4 N3	Straehle, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1974) 405,  p139-p152
8007	P c m n	K (Ti F4)	KFeF4	La structure cristalline du fluorotitanate de potassium K Ti F4	Sabatier, R.;  Charroin, G.;  Avignant, D.;  Cousseins, J.C.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1333-p1336
8034	P 3	Na2 U F6		Disodium uranium(IV) fluoride	Cousson, A.;  Tabuteau, A.;  Pages, M.;  Gasperin, M.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1198-p1200
8105	P 63 m c	Cs Cr I3	CsCrBr3	Structure cristalline de Cs Cr I3	Guen, L.;  Marchand, R.;  Jouini, N.;  Verbaere, A.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1554-p1557
8117	P 21 21 21	Na Al Cl4	NaAlCl4	Comparison of the crystal structures of alkaline (M = Li, Na, K, Rb, Cs) and Pseudo-alkaline (M = N O, N H4) Tetrachloroaluminates, M Al Cl4	Mairesse, G.;  Barbier, P.;  Wignacourt, J.P.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1573-p1580
8118	P n m a	Cs Al Cl4	Barite-BaSO4	Comparison of the crystal structures of alkaline (M = Li, Na, K, Rb, Cs) and Pseudo-alkaline (M = N O, N H4) Tetrachloroaluminates, M Al Cl4	Mairesse, G.;  Barbier, P.;  Wignacourt, J.P.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1573-p1580
8151	P 41 21 2	(Tl0.75 Pb0.25)4 Cl5		The crystal structure of the cation-disordered phase (Tl0.75 Pb0.25)4 Cl5	Skarstad, P.M.;  Hubbard, C.R.;  Roth, R.S.;  Parker, H.S.	Journal of Solid State Chemistry (1979) 30,  p65-p78
8159	B 2 m m	Li3 Ce5 Ge4		Li3 Ce5 Ge4, ein neuer Typ eines ternaeren Germanids des Lithiums mit Selten-Erd-Metallen	Czybulka, A.;  Schuster, H.U.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (33,1978-41,1986) (1979) 34,  p1234-p1236
8160	P 4/m b m	Li Y2 Si2	Si2U3	Ternaere Silicide des Lithiums mit Yttrium oder Neodym mit modifizierter U3 Si2 -Struktur	Steinberg, G.;  Schuster, H.U.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (33,1978-41,1986) (1979) 34,  p1237-p1239
8174	I 4/m m m	Rb2 (Mn Br4)	K2MgF4	Rubidium tetrabromomanganate(II)	Goodyear, J.;  Ali, E.M.;  Sutherland, H.H.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p456-p457
